Dataset,gamma1,Model,ModelClass,Transform,TransformClass,RMSE_train,RMSE_test,MAE_test,MAPE_test,R2_test,delta_RMSE_train_pct,delta_RMSE_test_pct,CV_RMSE_mean,CV_RMSE_std,DM_stat,DM_p,paired_t_stat,paired_t_p,cohens_d,min_n_80power,is_underpowered
Airfoil_SelfNoise,-0.4185339558133514,МНК,линейные,Без преобр.,—,4.826601301553781,4.704109194974887,3.6724145641788013,2.9646334357324386,0.5582979754897284,0.0,0.0,4.846651917515521,0.4737090658015374,,,,,,,
Airfoil_SelfNoise,-0.4185339558133514,МНК,линейные,ln(y),степенное (фикс. λ→0),4.860497598728338,4.726374225517071,3.678371609930754,2.968989549637621,0.5541068385382093,0.7022808609371678,0.473310240458879,4.880704612427658,0.46978573129137835,-2.568336219928672,0.010218798804812579,5.294651916935828,0.006109225438315287,-0.14803643866096033,358.1545042146267,1.0
Airfoil_SelfNoise,-0.4185339558133514,МНК,линейные,√y,степенное (фикс. λ=0.5),4.842506359006787,4.714805496510195,3.6753556292204865,2.9668196282930817,0.5562869892354192,0.32952913363458886,0.22738208430055795,4.862600517049553,0.4717541831808251,-2.5196312936707996,0.01174778188636938,4.938407310756948,0.007825678011943131,-0.14522913338195742,372.13471275919073,1.0
Airfoil_SelfNoise,-0.4185339558133514,МНК,линейные,asinh(y),гиперболическое,4.860495160415601,4.726372684297093,3.6783712999474885,2.968989341583893,0.5541071293401235,0.7022303427239518,0.47327747718928764,4.880702160503662,0.469785988751654,-2.5683380303489933,0.010218745429668274,5.2946297744942346,0.006109316941287551,-0.14803654301185284,358.15399928890713,1.0
Airfoil_SelfNoise,-0.4185339558133514,МНК,линейные,Box-Cox,степенное параметрическое (λ по MLE),4.773580384893837,4.648566661059067,3.638615118783946,2.9362934153429707,0.5686669587402912,-1.0985145311852451,-1.1807237377727686,4.7956764869314465,0.48741227112222274,2.0144097102985015,0.04396653571386566,-2.0100865689666163,0.11478761593055305,0.11610864543464203,582.20852147392,1.0
Airfoil_SelfNoise,-0.4185339558133514,МНК,линейные,Yeo-Johnson,"степенное параметрическое (λ по MLE, R)",4.770891821061835,4.6485486940274665,3.638613126209639,2.9362934846929143,0.568670292997911,-1.1542175748805272,-1.181105681109022,4.79170786022601,0.48837729209069364,2.015910044270677,0.04380938311833704,-2.345096219671145,0.07893721685975863,0.11619512324713384,581.3422306651639,1.0
Airfoil_SelfNoise,-0.4185339558133514,МНК,линейные,Quantile,ранговое непараметрическое,4.69182855301681,4.5690804970859045,3.5534002845876946,2.8748644911938745,0.5832916335917724,-2.7922908920110077,-2.8704414011737915,4.712758052325461,0.4787379598152678,3.3854699755971875,0.0007105648236047646,-5.447145433704465,0.005516889797239447,0.19513524533596088,206.12764289556335,0.0
Airfoil_SelfNoise,-0.4185339558133514,Ridge,линейные,Без преобр.,—,4.826657764910142,4.705203388894925,3.676348178577754,2.9680896861286286,0.558092468406765,0.0,0.0,4.84735448667462,0.4750621284957693,,,,,,,
Airfoil_SelfNoise,-0.4185339558133514,Ridge,линейные,ln(y),степенное (фикс. λ→0),4.86032239025301,4.727386998649241,3.680911124252449,2.971218444086911,0.5539157250225747,0.6974728058742902,0.4714697308658881,4.881812882267012,0.47204630183321505,-2.534951138154794,0.011246301159857586,5.79548385437814,0.0044071515566033986,-0.14611215453808676,367.6503510255623,1.0
Airfoil_SelfNoise,-0.4185339558133514,Ridge,линейные,√y,степенное (фикс. λ=0.5),4.84244828806461,4.715675314598899,3.6792166937428017,2.9702165669872658,0.5561232559893742,0.3271523261761909,0.22256053221183444,4.863023614457694,0.47342096770735365,-2.4858030087288374,0.012925949439126061,4.944826723265896,0.007789896137016533,-0.14327930345316586,382.3320905639125,1.0
