distribution,sigma,kappa_true,duan_n2000,bias_pct
"Стьюдент t (df=5), масштаб 0.5",0.6470295705438075,1.4389065008007766,1.2882801756141575,-10.46811068702469
"Лаплас, scale=0.5",0.7076157581420588,1.3470293252409546,1.3793064106763027,2.3961679846557415
"Сдвинутая Гамма (k=2, θ=0.3, центр.)",0.42462958716948096,1.1204940737414208,1.1194306873661093,-0.09490334667820469
