gamma_bin,n_pairs,MAE_delta,top1_hit_rate,sign_match_rate,spearman_correlation,spearman_p
S — γ₁≤0.5 (квази-симметрично),156,4.856107308578427,0.0,0.3717948717948718,0.023023414841450474,0.7754239219865544
M — 0.5<γ₁≤1.5 (умеренная асимметрия),156,10.795715506942088,0.6666666666666666,0.5128205128205128,-0.013278422114491694,0.8693211276275534
H — 1.5<γ₁≤3 (сильная асимметрия),90,4195423.235073171,0.06666666666666667,0.6,-0.6512056844123106,3.670487117017694e-12
X — γ₁>3 (экстремальная асимметрия),54,82147133000.57404,0.2222222222222222,0.42592592592592593,0.4524871355060034,0.0005919963999426659
